businessZones,companyFullName,companyId,companyShortName,companySize,createTime,district,education,financeStage,industryField,positionName,salary
"['员村', '天河公园', '棠下']",广州原力互娱网络科技有限公司,126248,原力互娱,500-2000人,2018-11-22 09:52:26,天河区,大专,上市公司,移动互联网,python开发工程师,15k-20k
"['天河北', '广州东站', '沙河']",广州英荔教育科技有限公司,108163,英荔教育,15-50人,2018-11-20 09:33:11,天河区,本科,不需要融资,"企业服务,教育",Python软件工程师,9k-15k
"['东圃', '棠下', '车陂']",广府数字（深圳）股份有限公司,463109,广府数字,15-50人,2018-11-22 17:48:01,天河区,大专,未融资,区块链 电子商务,Python工程师,12k-18k
,广州黑胡子游戏开发有限公司,173177,BBGAME,50-150人,2018-11-15 16:01:28,天河区,本科,天使轮,游戏,python开发,10k-15k
"['林和', '沙河']",乐至（上海）科技有限公司,137205,乐至科技,15-50人,2018-11-22 15:46:20,天河区,本科,不需要融资,移动互联网,Python高级开发工程师,10k-20k
"['员村', '珠江新城', '石牌']",广州薏米知教信息科技有限公司,415371,知教教育,15-50人,2018-11-22 11:26:48,天河区,不限,未融资,"移动互联网,教育",python,10k-14k
"['珠江新城', '沙河']",广州经传多赢投资咨询有限公司,310815,经传多赢,2000人以上,2018-11-22 15:38:11,天河区,本科,不需要融资,"移动互联网,金融",量化平台测试工程师-python,8k-13k
"['天园', '天河公园', '棠下']",广州市擎天柱网络科技有限公司,9619,擎天柱,150-500人,2018-11-22 08:53:08,天河区,本科,不需要融资,游戏,Python web开发工程师,15k-25k
"['冼村', '珠江新城', '沙河']",广东分子资产管理股份有限公司,130922,分子资产,15-50人,2018-11-19 14:59:49,天河区,大专,未融资,"移动互联网,金融",python量化交易员,10k-20k
,广州酷码教育咨询有限公司,319988,广州酷码教育咨询有限公司,150-500人,2018-11-22 17:17:26,天河区,大专,A轮,教育,Python讲师/助教,5k-8k
,广州伊的家网络科技有限公司,11891,伊的家,2000人以上,2018-11-21 22:48:41,天河区,不限,不需要融资,电子商务,量化平台研发工程师-python,15k-25k
"['东圃', '棠下', '车陂']",广州战神同盟网络科技有限公司,347179,战神联盟,50-150人,2018-11-22 10:31:03,天河区,大专,不需要融资,游戏,python开发工程师,10k-15k
"['珠江新城', '沙河']",广东全彩科技有限公司,105513,全彩科技,50-150人,2018-11-22 09:41:26,天河区,大专,未融资,"移动互联网,游戏",Python开发工程师,8k-13k
['琶洲'],广州多多村信息科技有限公司,433979,多多村,少于15人,2018-11-22 11:40:08,海珠区,本科,天使轮,"数据服务,文化娱乐",Python web开发工程师,15k-20k
"['车陂', '东圃', '前进']",广州回头车信息科技有限公司,19209,省省回头车,15-50人,2018-11-22 11:23:37,天河区,大专,A轮,生活服务,python开发工程师,15k-22k
"['东圃', '棠下', '车陂']",广府数字（深圳）股份有限公司,463109,广府数字,15-50人,2018-11-22 17:47:56,天河区,大专,未融资,区块链 电子商务,ＰＨＰ兼 Python 开发工程师,13k-18k
"['市桥', '东环']",广州经传多赢投资咨询有限公司,310815,经传多赢,2000人以上,2018-11-22 15:38:12,番禺区,硕士,不需要融资,"移动互联网,金融",高级量化研究员-PYTHON【天安科技园】,18k-35k
,广州伊的家网络科技有限公司,11891,伊的家,2000人以上,2018-11-21 22:48:37,天河区,大专,不需要融资,电子商务,数据工程师-Python【珠江新城】,10k-20k
,广州美亚尚途国际旅行社有限公司,50215,美亚商旅,150-500人,2018-11-21 17:10:15,海珠区,大专,不需要融资,电子商务,Python开发工程师,6k-12k
['大学城'],广州乐顽科技有限公司,213466,乐顽科技,15-50人,2018-11-20 16:30:14,番禺区,本科,不需要融资,"移动互联网,游戏",Python开发工程师,8k-15k
,广州常红信息科技有限公司,42599,爱竞彩,少于15人,2018-11-19 11:40:01,越秀区,不限,不需要融资,"移动互联网,文化娱乐",Python开发,10k-13k
['东圃'],广州杰颉软件科技有限公司,174043,颉一软件,15-50人,2018-11-22 10:52:12,天河区,不限,A轮,"信息安全,数据服务",Python工程师,15k-20k
"['员村', '东圃', '棠下']",陕西晟运通科技有限公司,300032,晟运通科技,150-500人,2018-10-26 10:54:22,天河区,大专,未融资,电子商务,Python工程师,10k-20k
['琶洲'],上海触乐信息科技有限公司,7030,触宝,150-500人,2018-11-22 09:38:46,海珠区,本科,上市公司,"移动互联网,数据服务",【广州】后端开发工程师（Python）,15k-25k
"['冼村', '珠江新城', '沙河']",广州博冠信息科技有限公司,22790,网易游戏,2000人以上,2018-11-21 15:26:41,天河区,本科,上市公司,游戏,python服务端开发工程师,15k-22k
['大石'],广州沃港电子科技有限公司,261105,沃港科技,50-150人,2018-11-06 14:50:34,番禺区,本科,不需要融资,"硬件,其他",python开发工程师,15k-22k
"['棠下', '员村', '天河公园']",广州润普网络科技有限公司,10909,易工作,50-150人,2018-11-11 23:17:35,天河区,不限,不需要融资,企业服务,Python开发工程师,6k-12k
['大石'],广州亿利莱科技有限公司,268573,亿利莱科技,15-50人,2018-11-20 11:49:44,番禺区,本科,不需要融资,"招聘,移动互联网",python工程师,10k-15k
,时互康联健康管理（北京）有限公司,7662,V大夫,50-150人,2018-11-02 11:00:36,海珠区,本科,C轮,O2O,Python开发工程师,10k-20k
